"Name","Code","Last","Change","%","Vol","Buy Vol","Buy Price","Sell Price","Sell Vol","Open","High","Low","Previous Close","Value","Sector","Remarks","Timestamp"
"CDL HTrust@","J85","2.1","-0.02","-0.952381","253.0","12.0","2.1","2.11","60.0","2.12","2.12","2.09","2.12","531790.0","9",,"20110726_181655",
"CDW","D38","0.0","0.0","0.0","0.0","80.0","0.078","0.08","100.0","0.0","0.0","0.0","0.077","0.0","2",,"20110726_181655",
"Celestial","C56","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.17","0.0","2",,"20110726_181655",
"Centillion","C49","0.0020","-0.0010","-50.0","1320.0","68644.0","0.0020","0.0030","34192.0","0.0020","0.0020","0.0020","0.0030","2640.0","2",,"20110726_181655",
"CentraLand","E3S","0.0","0.0","0.0","0.0","5.0","0.26","0.38","5.0","0.0","0.0","0.0","0.36","0.0","9",,"20110726_181655",
"CerebosPac","C20","5.37","0.05","0.9310987","86.0","1.0","5.32","5.37","13.0","5.32","5.37","5.32","5.32","460940.0","2",,"20110726_181655",
"CEA ADR 10US$","K3CD","0.0","0.0","0.0","0.0","0.0","0.0","26.14","1.0","0.0","0.0","0.0","23.74","0.0","7",,"20110726_181655",
"CEI","C11","0.128","0.0050","3.9062498","10.0","100.0","0.12","0.128","5.0","0.128","0.128","0.128","0.123","1280.0","2",,"20110726_181655",
"CFM","5EB","0.0","0.0","0.0","0.0","30.0","0.083","0.088","17.0","0.0","0.0","0.0","0.085","0.0","2",,"20110726_181655",
"CGI Group","5CJ","0.0","0.0","0.0","0.0","130.0","0.02","0.04","285.0","0.0","0.0","0.0","0.04","0.0","2",,"20110726_181655",
"Challenger","573","0.43","-0.035","-8.139535","27.0","13.0","0.43","0.44","6.0","0.42","0.43","0.42","0.465","11410.0","4",,"20110726_181655",
"Changtian","D2V","0.075","0.0","0.0","68.0","17.0","0.075","0.078","150.0","0.075","0.075","0.075","0.075","5100.0","2",,"20110726_181655",
"ChasenHldg","5NV","0.41","0.01","2.4390244","2196.0","111.0","0.41","0.415","4.0","0.4","0.425","0.4","0.4","899745.0","A",,"20110726_181655",
"ChemInd","C05","0.0","0.0","0.0","0.0","7.0","0.425","0.47","10.0","0.0","0.0","0.0","0.44","0.0","2",,"20110726_181655",
"Chemoil US$","AV5","0.305","0.0050","1.6393442","12.0","38.0","0.295","0.305","17.0","0.305","0.305","0.305","0.3","3660.0","4",,"20110726_181655",
"CheungWoh","C50","0.25","0.0","0.0","185.0","25.0","0.245","0.25","31.0","0.25","0.25","0.25","0.25","44250.0","2",,"20110726_181655",
"Chew s Gp","5SY","0.0","0.0","0.0","0.0","10.0","0.225","0.24","166.0","0.0","0.0","0.0","0.24","0.0","2",,"20110726_181655",
"China Dairy","T16","0.08","0.0020","2.5","50.0","50.0","0.077","0.08","150.0","0.08","0.08","0.08","0.078","4000.0","4",,"20110726_181655",
"China Farm","A8J","0.0","0.0","0.0","0.0","10.0","0.2","0.26","50.0","0.0","0.0","0.0","0.23","0.0","2",,"20110726_181655",
"China Fish","B0Z","1.52","0.01","0.65789473","29.0","5.0","1.52","1.53","1.0","1.5","1.52","1.5","1.51","43980.0","A",,"20110726_181655",
"China Great","D50","0.0","0.0","0.0","0.0","89.0","0.018","0.025","118.0","0.0","0.0","0.0","0.021","0.0","3",,"20110726_181655",
"China Haida","C92","0.0","0.0","0.0","0.0","166.0","0.028","0.033","100.0","0.0","0.0","0.0","0.03","0.0","2",,"20110726_181655",
"China HC","592","0.0","0.0","0.0","0.0","100.0","0.163","0.175","331.0","0.0","0.0","0.0","0.17","0.0","A",,"20110726_181655",
"China Hongx","BR9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.115","0.0","2",,"20110726_181655",
"China Intl","C37","0.041","-0.0050","-12.195122","358.0","71.0","0.041","0.06","126.0","0.046","0.047","0.041","0.046","16100.0","7",,"20110726_181655",
"China Paper","C71","0.106","-0.0010","-0.9433963","661.0","200.0","0.105","0.107","20.0","0.106","0.106","0.105","0.107","69916.0","2",,"20110726_181655",
"China Powerpl","Z02","0.0","0.0","0.0","0.0","300.0","0.04","0.042","18.0","0.0","0.0","0.0","0.041","0.0","2",,"20110726_181655",
"China Sky","E90","0.123","0.0","0.0","126.0","11.0","0.122","0.125","12.0","0.121","0.123","0.121","0.123","15418.0","2",,"20110726_181655",
"China Sports","FQ8","0.074","0.0020","2.7027028","422.0","98.0","0.073","0.074","50.0","0.072","0.074","0.072","0.072","30621.0","2",,"20110726_181655",
"China Sun","C86","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.055","0.0","2",,"20110726_181655",
"China XLX","B9R","0.355","0.0","0.0","65.0","20.0","0.355","0.365","35.0","0.355","0.355","0.355","0.355","23075.0","2",,"20110726_181655",
"China YongS","5KK","0.011","0.0","0.0","100.0","300.0","0.011","0.013","200.0","0.011","0.011","0.011","0.011","1100.0","2",,"20110726_181655",
"ChinaACorp","A01","0.026","0.0010","3.8461537","210.0","11.0","0.025","0.027","399.0","0.025","0.027","0.025","0.025","5311.0","1",,"20110726_181655",
"ChinaAElec","T42","0.0","0.0","0.0","0.0","200.0","0.09","0.11","15.0","0.0","0.0","0.0","0.09","0.0","2",,"20110726_181655",
"ChinaAniH","EP4","0.265","0.0050","1.8867925","1420.0","218.0","0.265","0.27","1263.0","0.265","0.27","0.265","0.26","376340.0","2",,"20110726_181655",
"ChinaAOil","G92","1.19","0.02","1.6806722","108.0","23.0","1.185","1.19","29.0","1.17","1.19","1.16","1.17","126785.0","4",,"20110726_181655",
"ChinaBearing","AD7","0.04","-0.0010","-2.5","63.0","167.0","0.038","0.04","17.0","0.04","0.04","0.04","0.041","2520.0","2",,"20110726_181655",
"ChinaEnergy","A0G","0.093","-0.0030","-3.2258065","362.0","108.0","0.093","0.096","81.0","0.095","0.095","0.093","0.096","34236.0","2",,"20110726_181655",
"ChinaEnSave","5QT","0.0040","-0.0010","-25.0","24.0","1416.0","0.0040","0.0050","4.0","0.0040","0.0040","0.0040","0.0050","96.0","3",,"20110726_181655",
"ChinaEnv","5OU","0.108","0.0030","2.777778","52.0","1.0","0.106","0.108","202.0","0.108","0.108","0.105","0.105","5514.0","A",,"20110726_181655",
"ChinaEnvRes 8k","M8J","0.02","-0.0040","-20.0","200.0","32.0","0.019","0.025","184.0","0.02","0.02","0.02","0.024","4000.0","2",,"20110726_181655",
"ChinaEssen","G54","0.265","-0.0050","-1.8867925","210.0","38.0","0.265","0.275","75.0","0.27","0.275","0.265","0.27","56445.0","2","CD","20110726_181655",
"ChinaFash","5FK","0.053","-0.0070","-13.207548","150.0","85.0","0.052","0.06","546.0","0.054","0.054","0.053","0.06","8035.0","2",,"20110726_181655",
"ChinaFibreT","F6D","0.06","0.0020","3.3333335","400.0","20.0","0.058","0.07","70.0","0.058","0.06","0.057","0.058","23550.0","A",,"20110726_181655",
"ChinaFlexP","C59","0.0","0.0","0.0","0.0","1.0","0.076","0.085","53.0","0.0","0.0","0.0","0.077","0.0","2",,"20110726_181655",
"ChinaGaoxian","I4U","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.19","0.0","2",,"20110726_181655",
"ChinaHongc","C0Z","0.0","0.0","0.0","0.0","300.0","0.04","0.055","10.0","0.0","0.0","0.0","0.046","0.0","2",,"20110726_181655",
"ChinaJishan","J18","0.0","0.0","0.0","0.0","16.0","0.061","0.07","73.0","0.0","0.0","0.0","0.075","0.0","A",,"20110726_181655",
"ChinaKangda","P74","0.0","0.0","0.0","0.0","10.0","0.086","0.105","5.0","0.0","0.0","0.0","0.095","0.0","2",,"20110726_181655",
"ChinaKunda","GU5","0.0","0.0","0.0","0.0","300.0","0.07","0.078","92.0","0.0","0.0","0.0","0.07","0.0","2",,"20110726_181655",
"ChinaMilk","G86","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.24","0.0","2",,"20110726_181655",
"ChinaMinzhong","K2N","1.41","0.03","2.1276596","1147.0","9.0","1.41","1.415","12.0","1.39","1.42","1.385","1.38","1606645.0","2",,"20110726_181655",
"ChinaNTown","D4N","0.08","-0.0010","-1.25","1360.0","825.0","0.08","0.081","62.0","0.081","0.081","0.08","0.081","109864.0","9",,"20110726_181655",
"ChinaOilFld","DT2","0.043","-0.0050","-11.627907","40.0","20.0","0.044","0.05","142.0","0.04","0.044","0.04","0.048","1675.0","A",,"20110726_181655",
"ChinaPrtP","B3C","0.0","0.0","0.0","0.0","30.0","0.168","0.188","20.0","0.0","0.0","0.0","0.21","0.0","2",,"20110726_181655",
"Chinasing","C16","0.0090","-0.0010","-11.111112","8.0","1904.0","0.0090","0.02","1020.0","0.0090","0.0090","0.0090","0.01","72.0","A",,"20110726_181655",
"ChinaSsine","CH8","0.255","0.0050","1.9607843","230.0","33.0","0.255","0.26","107.0","0.255","0.255","0.255","0.25","58650.0","2",,"20110726_181655",
"ChinaTaisan","F2X","0.164","-0.0010","-0.6097561","13913.0","172.0","0.163","0.164","170.0","0.165","0.165","0.162","0.165","2274493.0","2",,"20110726_181655",
